Relative Abundances of Taxa in Lake Ontario
Schmidt Lab, 2023
sample_id,Proteobacteria,Actinobacteriota,Bacteroidota,Chloroflexi,Verrucomicrobiota,Cyanobacteria,Planctomycetota,sequencing_reads,perc_reads_retained,Extraction_Date,Lot_Number,
Sep_43_B,0.4750424903837557,0.14116870918686822,0.072457285982646,0.005154754450308614,0.11356114142588777,0.14148179622506485,0.036429913230163695,78341,67.55654362396726,20231007.5,172033163, MiSeq Sequencer
Sep_29_E,0.4532027397871533,0.18427745922670175,0.08144619709511161,0.006882934338814395,0.12767452756520375,0.1136520827290779,0.025836103612146104,73370,67.04807015935938,20231011,NA, MiSeq Sequencer
Sep_62_B,0.4445189001548922,0.22247366281816092,0.11902538695609188,0.008414715866023662,0.07473278333754435,0.08943107293119928,0.025474838241917597,70483,71.15438503541827,20231008.5,NA, MiSeq Sequencer
May_8_E,0.44319281443068753,0.1948738307322036,0.2632806490831948,0.05237823487085329,0.03761506587598938,6.947373644641838e-4,0.0020097759471999605,58185,68.44234708674301,20230614.5,172033163, MiSeq Sequencer
Sep_62_E,0.44124389783423684,0.20572502270050613,0.09990919797538457,0.005726820760399528,0.10034073234979457,0.10234556913090771,0.03154696082926523,89830,69.57811054899217,20231013.5,NA, MiSeq Sequencer
May_38_E,0.4396651527295396,0.17521595867842193,0.3104016386143022,0.016430670585092174,0.03927331017900079,8.014961261020571e-4,0.0056995280078368515,61580,57.03312763884378,20230615,172033163, MiSeq Sequencer
Sep_12_E,0.43588136704802166,0.21974786854186404,0.07703854842235662,0.00970633243459885,0.10388399038111201,0.11340085987029075,0.02840486774029002,58568.5,68.09693556299425,20231007.5,172033163, MiSeq Sequencer
May_17_E,0.4351187991214858,0.19107690632203736,0.21576243805928202,0.08498357323071895,0.057520919173034694,0.0012887299656943712,0.002105530648176719,55062,66.34078050124333,20230615,172033163, MiSeq Sequencer
May_66_E,0.4313813017883545,0.13930195575147164,0.3150684931506849,0.02050609602990821,0.06927433529559468,0.0014228719694222023,0.007030661495968529,50591,64.65343977323707,20230614,172033163, MiSeq Sequencer
Sep_8_B,0.42888987962550174,0.16255450561638915,0.11755814838576387,0.004828028663701705,0.16453356241096964,0.0886443460957124,0.018289964442221328,76739,66.16348710019129,20231016.5,NA, MiSeq Sequencer
Sep_48_B,0.42748339624444526,0.208342491280042,0.0683740264704477,0.006450379855702614,0.1257107362989154,0.11753069903005399,0.03150652205074298,87956.5,66.49785455855752,20231010.5,NA, MiSeq Sequencer
